prov,popTot,maschi,femmine,sup,comuni,zTot,zCom
AG,423488,206000,217488,3.052,43,-0.32153507365446526,-0.010081357187203632
CL,255931,123883,132048,2.138,22,-0.7772921772742589,-0.645206859981028
CT,1072634,520750,551884,3.573,58,1.4441500411803345,0.4435797162369566
EN,160161,77520,82641,2.574,20,-1.0377877567705953,-0.7056950031042494
ME,613887,296351,317536,3.266,108,0.1963525512857347,1.9557832943174904
PA,1222988,591325,631663,5.009,82,1.8531147729292345,1.169437433715613
RG,315601,156514,159087,1.623,12,-0.6149890423828901,-0.9476475755971348
SR,389344,191804,197540,2.124,21,-0.4144071741694795,-0.6754509315426387
TP,421256,206795,214461,2.469,24,-0.3276061411436145,-0.5847187168578066
